indicator_code,diagnosis_group,provider_code,provider_name,spells,observed,expected
I00699,1,R1F,ISLE OF WIGHT NHS TRUST,*,0,0.0096
I00699,1,R1H,BARTS HEALTH NHS TRUST,145,6,5.1496
I00699,1,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,138,*,4.9957
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,7,0,0.1605
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,23,*,0.5181
I00699,1,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,*,0,0.074
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,31,*,0.8304
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6,*,0.161
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,43,*,2.5628
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,27,*,0.5197
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,23,0,0.6845
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,8,0,0.2872
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.3442
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0082
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,*,0,0.2321
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.2067
I00699,1,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,*,0,0.0099
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.0366
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,6,0,0.1137
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,22,*,0.639
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.6333
I00699,1,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.1184
I00699,1,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0291
I00699,1,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,0,0.2724
I00699,1,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,*,0.0507
I00699,1,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11,*,1.0639
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11,0,0.7271
I00699,1,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,*,0,0.0339
I00699,1,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,34,*,1.2047
I00699,1,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,0,0.1726
I00699,1,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,6,0,0.587
I00699,1,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,0,0.7722
I00699,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0021
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",35,0,1.1656
I00699,1,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0122
I00699,1,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,8,*,0.267
I00699,1,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,7,0,0.4008
I00699,1,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,10,*,0.5836
I00699,1,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7,0,0.1148
I00699,1,RGQ,IPSWICH HOSPITAL NHS TRUST,6,0,0.1352
I00699,1,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,11,0,0.3969
I00699,1,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14,0,0.25
I00699,1,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7,0,0.3144
I00699,1,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,27,*,1.1211
I00699,1,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,54,*,1.8543
I00699,1,RHU,PORTSMOUTH HOSPITALS NHS TRUST,6,0,0.5232
I00699,1,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,14,*,0.8618
I00699,1,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,24,0,1.0776
I00699,1,RJ2,LEWISHAM AND GREENWICH NHS TRUST,45,*,2.0553
I00699,1,RJ6,CROYDON HEALTH SERVICES NHS TRUST,14,*,0.8462
I00699,1,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,76,*,2.2638
I00699,1,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,*,0,0.1013
I00699,1,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,24,*,1.1241
I00699,1,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,6,0,0.1913
I00699,1,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,*,0,0.0082
I00699,1,RJN,EAST CHESHIRE NHS TRUST,*,0,0.0145
I00699,1,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,*,*,0.3536
I00699,1,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,45,*,1.1142
I00699,1,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,*,0,0.6078
I00699,1,RK9,PLYMOUTH HOSPITALS NHS TRUST,*,0,0.2937
I00699,1,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,51,*,3.1816
