diagnosis_group,diagnosis_group_name
1,Tuberculosis
2,"Septicaemia (except in labour), Shock"
3,Bacterial infection; unspecified site
4,Mycoses
5,HIV infection
6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
7,Cancer of head and neck
8,Cancer of oesophagus
9,Cancer of stomach
10,Cancer of colon
11,Cancer of rectum and anus
12,Cancer of liver and intrahepatic bile duct
13,Cancer of pancreas
14,Cancer of other GI organs; peritoneum
15,Cancer of bronchus; lung
16,Cancer; other respiratory and intrathoracic
17,"Melanomas of skin, Other non-epithelial cancer of skin"
18,Cancer of breast
19,Cancer of uterus
20,"Cancer of cervix, Cancer of other female genital organs"
21,Cancer of ovary
22,"Cancer of prostate, Cancer of testis, Cancer of other male genital organs"
23,Cancer of bladder
24,"Cancer of kidney and renal pelvis, Cancer of other urinary organs"
25,Cancer of brain and nervous system
26,"Hodgkin's disease, Non-Hodgkin's lymphoma"
27,Leukemias
28,Multiple myeloma
29,"Cancer; other and unspecified primary, Maintenance chemotherapy; radiotherapy"
30,Secondary malignancies
31,"Cancer of bone and connective tissue, Cancer of thyroid, Malignant neoplasm without specification of site"
32,"Neoplasms of unspecified nature or uncertain behavior, Nonmalignant breast conditions"
33,"Benign neoplasm of uterus, Other and unspecified benign neoplasm"
34,Diabetes mellitus without complication
35,Diabetes mellitus with complications
36,"Thyroid disorders, Other endocrine disorders"
37,Fluid and electrolyte disorders
38,"Nutritional deficiencies, Disorders of lipid metabolism, Other nutritional;endocrine; and metabolic disorders"
39,"Deficiency and other anemia, Acute posthemorrhagic anemia"
40,Diseases of white blood cells
41,"Immunity disorders, Sickle cell anemia, Coagulation and hemorrhagic disorders, Other hematologic conditions"
42,"Mental retardation, Senility and organic mental disorders"
43,"Alcohol-related mental disorders, Substance-related mental disorders, Affective disorders, Anxiety; somatoform; dissociative; and personality disorders"
44,Other psychoses
45,"Schizophrenia and related disorders, Preadult disorders, Other mental conditions, Personal history of mental disorder"
46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
47,Parkinson's disease
48,"Multiple sclerosis, Other hereditary and degenerative nervous system conditions"
49,"Paralysis, Late effects of cerebrovascular disease"
50,Epilepsy; convulsions
51,Coma; stupor; and brain damage
52,"Headache; including migraine, Cataract, Retinal detachments; defects; vascular occlusion; and retinopathy, Glaucoma, Blindness and vision defects, Inflammation; infection of eye (except that caused by tuberculosisor sexually transmitted disease), Other eye disorders, Otitis media and related conditions, Conditions associated with dizziness or vertigo, Other ear and sense organ disorders"
53,Other nervous system disorders
54,Heart valve disorders
55,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)
